ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
51,New York,US Open,06/09/05,Grand Slam,Outdoor,Hard,4th Round,5,Ginepri R.,Gasquet R.,46,13,795,1489,6,3,3,6,6,7,6,4,6,0,3,2,Completed,1.44,2.62,1.4,2.95,1.45,2.6,1.6,2,1.469,2.93
51,New York,US Open,06/09/05,Grand Slam,Outdoor,Hard,4th Round,5,Nieminen J.,Verdasco F.,57,48,667,770,6,2,7,6,6,3,,,,,3,0,Completed,2.5,1.5,2.45,1.55,2.45,1.5,2.2,1.5,2.53,1.613
51,New York,US Open,06/09/05,Grand Slam,Outdoor,Hard,4th Round,5,Hewitt L.,Hrbaty D.,4,17,3335,1391,6,1,6,4,6,2,,,,,3,0,Completed,1.14,5,1.17,5,1.17,4.67,1.2,3.6,1.2,5.5
51,New York,US Open,06/09/05,Grand Slam,Outdoor,Hard,4th Round,5,Federer R.,Kiefer N.,1,38,6975,900,6,4,6,7,6,3,6,4,,,3,1,Completed,1.02,11,1.03,12,1.03,20,1.05,6,1.043,19.5
51,New York,US Open,07/09/05,Grand Slam,Outdoor,Hard,4th Round,5,Nalbandian D.,Sanguinetti D.,11,59,1700,639,4,6,7,6,6,4,6,2,,,3,1,Completed,1.12,5.5,1.1,7,1.11,5.84,1.15,4,1.129,8.04
51,New York,US Open,07/09/05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Ginepri R.,Coria G.,46,8,795,1765,4,6,6,1,7,5,3,6,7,5,3,2,Completed,1.5,2.5,1.57,2.4,1.58,2.47,1.65,1.95,1.625,2.5
51,New York,US Open,08/09/05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Agassi A.,Blake J.,7,49,2190,740,3,6,3,6,6,3,6,3,7,6,3,2,Completed,1.66,2.1,1.77,2.05,1.89,1.96,1.8,1.8,2.26,1.704
51,New York,US Open,08/09/05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Hewitt L.,Nieminen J.,4,57,3335,667,2,6,6,1,3,6,6,3,6,1,3,2,Completed,1.08,7.5,1.06,9,1.1,7.69,1.1,5,1.12,8.55
51,New York,US Open,09/09/05,Grand Slam,Outdoor,Hard,Quarterfinals,5,Federer R.,Nalbandian D.,1,11,6975,1700,6,2,6,4,6,1,,,,,3,0,Completed,1.07,8,1.08,8,1.11,7.4,1.1,5,1.131,7.9
51,New York,US Open,10/09/05,Grand Slam,Outdoor,Hard,Semifinals,5,Agassi A.,Ginepri R.,7,46,2190,795,6,4,5,7,6,3,4,6,6,3,3,2,Completed,1.36,3.2,1.37,3.1,1.41,3,1.45,2.35,1.405,3.27
51,New York,US Open,10/09/05,Grand Slam,Outdoor,Hard,Semifinals,5,Federer R.,Hewitt L.,1,4,6975,3335,6,3,7,6,4,6,6,3,,,3,1,Completed,1.08,7.5,1.1,7,1.11,7.4,1.1,5,1.116,8.86
51,New York,US Open,11/09/05,Grand Slam,Outdoor,Hard,The Final,5,Federer R.,Agassi A.,1,7,6975,2190,6,3,2,6,7,6,6,1,,,3,1,Completed,1.12,6,1.11,6.5,1.13,6.41,1.1,5,1.152,6.96
