ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds,Player1_Implied_Prob,Player2_Implied_Prob
1,BrisbaneInternational,1.2757,42742,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,NishikoriK.,6.1257,WawrinkaS.,6.9056,NishikoriK.,6.1257,4,5,2.3,1.61,0.4348,0.6211
1,BrisbaneInternational,1.2757,42742,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,Semifinals,5.2101,3,DimitrovG.,6.5157,DimitrovG.,6.5157,RaonicM.,6.0616,17,3,2.7,1.45,0.3704,0.6897
1,BrisbaneInternational,1.2757,42743,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,TheFinal,5.3011,3,DimitrovG.,6.5157,NishikoriK.,6.1257,DimitrovG.,6.5157,5,17,1.48,2.65,0.6757,0.3774
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DarcisS.,6.8219,DarcisS.,6.8219,MekticN.,6.6714,86,331,1.23,4.06,0.813,0.2463
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,SelaD.,6.4601,DzumhurD.,6.3802,SelaD.,6.4601,77,96,1.77,2.02,0.565,0.495
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,MedvedevD.,6.9238,MedvedevD.,6.9238,MonteiroT.,6.1866,99,82,1.21,4.3,0.8264,0.2326
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,KovalikJ.,6.7179,EliasG.,6.4531,KovalikJ.,6.7179,81,117,2.55,1.5,0.3922,0.6667
2,ChennaiOpen,1.5486,42737,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ChungH.,6.0569,ChungH.,6.0569,CoricB.,6.6628,104,48,1.74,2.06,0.5747,0.4854
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,OlivoR.,6.5205,RuudC.,6.6593,OlivoR.,6.5205,225,83,1.92,1.85,0.5208,0.5405
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BedeneA.,6.265,BedeneA.,6.265,GarciaLopezG.,6.0349,101,70,1.69,2.13,0.5917,0.4695
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,LuY.H.,6.452,AlbotR.,6.5301,LuY.H.,6.452,97,64,3.68,1.26,0.2717,0.7937
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,PaireB.,6.3788,PaireB.,6.3788,KravchukK.,6.0762,47,85,1.5,2.54,0.6667,0.3937
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,BhambriY.,6.2194,RamanathanR.,6.7904,BhambriY.,6.2194,227,474,2.75,1.44,0.3636,0.6944
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DutraSilvaR.,6.26,DutraSilvaR.,6.26,LajovicD.,6.4079,440,93,2.97,1.38,0.3367,0.7246
2,ChennaiOpen,1.5486,42738,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,YouzhnyM.,6.6727,MyneniS.,6.1736,YouzhnyM.,6.6727,192,57,2.87,1.4,0.3484,0.7143
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,MedvedevD.,6.9238,MedvedevD.,6.9238,LuY.H.,6.452,99,64,2.37,1.57,0.4219,0.6369
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,RamosVinolasA.,6.2112,DarcisS.,6.8219,RamosVinolasA.,6.2112,86,27,1.95,1.82,0.5128,0.5495
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,KovalikJ.,6.7179,KovalikJ.,6.7179,CilicM.,6.22,117,6,6.9,1.09,0.1449,0.9174
2,ChennaiOpen,1.5486,42739,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,SelaD.,6.4601,ChungH.,6.0569,SelaD.,6.4601,104,96,1.44,2.72,0.6944,0.3676
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,YouzhnyM.,6.6727,YouzhnyM.,6.6727,OlivoR.,6.5205,57,83,1.32,3.36,0.7576,0.2976
2,ChennaiOpen,1.5486,42740,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,BautistaAgutR.,6.2761,DutraSilvaR.,6.26,BautistaAgutR.,6.2761,440,14,6.17,1.12,0.1621,0.8929
