ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Srichaphan P.,Hrbaty D.,11,66,6,3,6,4,4,6,3,6,6,3,3,2,Completed,1.4,2.75,1.38,3,1.3,2.7,1.364,2.875,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Schuettler R.,Kratochvil M.,8,101,6,3,6,4,6,7,7,5,,,3,1,Completed,1.533,2.375,1.63,2.25,1.4,2.3,1.571,2.25,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Spadea V.,43,33,6,2,6,4,6,4,,,,,3,0,Completed,1.444,2.625,1.48,2.6,1.35,2.5,1.4,2.75,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Ancic M.,76,68,6,3,6,4,4,6,6,4,,,3,1,Completed,4,1.222,4.65,1.18,3.8,1.15,4.5,1.16,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Kendrick R.,52,130,6,3,6,4,7,6,,,,,3,0,Completed,1.333,3.25,1.33,3.25,1.25,3,1.28,3.25,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Childs L.,Davydenko N.,489,35,2,6,7,6,1,6,7,6,6,2,3,2,Completed,2.75,1.4,2.8,1.42,2.7,1.3,2.62,1.44,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Saretta F.,Mackin A.,60,356,6,2,6,4,6,2,,,,,3,0,Completed,1.167,4.5,1.16,5,1.15,3.8,1.12,5.5,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Calleri A.,Voinea A.,18,113,6,2,7,5,1,0,,,,,2,0,Retired,1.833,1.833,2.05,1.75,1.85,1.65,1.833,1.833,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Vahaly B.,Volandri F.,81,69,2,6,6,1,6,4,6,4,,,3,1,Completed,1.286,3.5,1.33,3.25,1.25,3,,,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Karlovic I.,Hewitt L.,203,2,1,6,7,6,6,3,6,4,,,3,1,Completed,9,1.04,9,1.05,5,1.05,9,1.04,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Roddick A.,Sanguinetti D.,6,91,6,2,6,3,6,3,,,,,3,0,Completed,1.071,7.5,1.08,7,1.05,5,1.063,7,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Santoro F.,Vinciguerra A.,49,107,4,6,6,3,2,6,6,2,6,2,3,2,Completed,1.333,3.25,1.33,3.25,1.35,2.5,1.25,3.5,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Baccanello P.,Heuberger I.,204,137,7,6,6,3,3,6,7,6,,,3,1,Completed,2,1.727,2.05,1.75,1.75,1.75,2,1.727,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Ljubicic I.,Dent T.,39,37,7,5,3,6,6,3,7,5,,,3,1,Completed,2.625,1.444,2.5,1.52,2,1.55,2.5,1.5,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Beck K.,25,75,6,4,6,2,6,3,,,,,3,0,Completed,1.125,5.5,1.16,5,1.15,3.8,1.143,5,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Mutis O.,Squillari F.,78,86,4,6,0,6,6,4,7,6,6,3,3,2,Completed,1.333,3.25,1.33,3.25,1.3,2.7,1.286,3.25
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Robredo T.,Acasuso J.,21,53,3,6,6,3,7,6,6,4,,,3,1,Completed,1.083,7,1.08,7.25,1.1,4.5,1.083,7
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Gambill J.M.,Kunitsyn I.,42,146,6,3,6,2,6,4,,,,,3,0,Completed,1.167,4.5,1.16,5,1.1,4.5,,
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Fish M.,Gaudio G.,45,26,6,2,4,6,6,3,6,3,,,3,1,Completed,1.25,3.75,1.28,3.6,1.25,3,1.2,4
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Gimelstob J.,Labadze I.,96,103,6,2,6,2,6,4,,,,,3,0,Completed,1.444,2.625,1.36,3.1,1.25,3,1.444,2.625
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Koubek S.,Rochus C.,70,92,4,6,6,3,6,1,6,1,,,3,1,Completed,1.833,1.833,1.72,2.1,1.75,1.75,1.833,1.833
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Hanescu V.,Portas A.,99,85,7,6,6,0,6,0,,,,,3,0,Completed,1.444,2.625,1.36,3.1,1.45,2.2,1.333,3
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Lapentti N.,Carlsen K.,47,83,6,3,6,4,3,6,6,4,,,3,1,Completed,1.8,1.909,1.82,1.95,1.8,1.7,1.833,1.833
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Lee H.T.,5,55,6,3,6,3,7,6,,,,,3,0,Completed,1.111,6,1.08,7,1.05,5,1.05,8
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Rusedski G.,Waske A.,51,116,7,6,7,5,7,6,,,,,3,0,Completed,1.1,6.5,1.08,7,1.05,5,1.1,6
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Kuerten G.,van Lottum J.,13,89,2,6,3,2,,,,,,,0,1,Retired,1.4,2.75,1.52,2.5,1.4,2.3,1.4,2.75
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Chela J.I.,Behrend T.,34,98,6,4,6,2,6,3,,,,,3,0,Completed,1.25,3.75,1.28,3.6,1.25,3,1.25,3.5
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Martin T.,Vicente F.,102,57,6,7,6,4,2,6,7,6,6,4,3,2,Completed,1.364,3,1.35,3.15,1.25,3,1.25,3.5
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Luxa P.,79,253,6,3,7,6,6,2,,,,,3,0,Completed,1.111,6,1.1,6.5,1.1,4.5,1.143,5
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Schalken S.,Parmar A.,12,209,6,3,6,4,6,1,,,,,3,0,Completed,1.111,6,1.1,6.5,1.1,4.5,1.083,7
36,London,Wimbledon,23/06/03,Grand Slam,Outdoor,Grass,1st Round,5,Melzer J.,Gonzalez F.,100,15,6,3,6,4,7,6,,,,,3,0,Completed,3,1.364,3.1,1.35,2.5,1.35,2.875,1.364
