ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Serra F.,Kohlschreiber P.,90,30,460,950,7,6,6,4,6,4,,,,,3,0,Completed,3,1.36,3.1,1.35,2.92,1.37,3.5,1.37,3,1.37
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Zib T.,Hartfield D.,133,88,321,480,4,6,7,6,3,6,6,3,6,4,3,2,Completed,1.3,3.39,1.28,3.55,1.23,3.89,1.333,3.7,1.25,3.8
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Falla A.,Querrey S.,119,81,354,512,7,6,6,1,6,4,,,,,3,0,Completed,1.66,2.1,1.7,2.1,1.7,2.1,1.741,2.25,1.67,2.15
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Tipsarevic J.,Peya A.,64,103,566,406,4,6,3,6,6,3,6,4,6,3,3,2,Completed,1.16,4.5,1.16,5,1.1,6.25,1.19,5.77,1.13,5.4
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Gonzalez F.,Ginepri R.,6,46,2780,720,3,6,7,6,6,2,6,2,,,3,1,Completed,1.16,4.5,1.22,4.1,1.23,3.89,1.22,5.15,1.21,4.15
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Haas T.,Fleishman Z.,10,172,1960,254,6,3,6,4,6,2,,,,,3,0,Completed,1.4,2.75,1.45,2.7,1.48,2.53,1.493,2.83,1.44,2.7
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Federer R.,Gabashvili T.,1,86,7290,486,6,3,6,2,6,4,,,,,3,0,Completed,1,17,1.01,16,1.01,13.5,1.01,76,1.01,30
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Roddick A.,Gimelstob J.,3,155,3055,276,6,1,7,5,7,6,,,,,3,0,Completed,1.01,13,1.02,14,1.02,11.5,1.018,36,1.02,18
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Udomchoke D.,Berlocq C.,114,92,369,457,6,4,7,5,6,3,,,,,3,0,Completed,1.33,3.25,1.33,3.2,1.32,3.22,1.333,3.7,1.32,3.25
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Berrer M.,Montanes A.,94,48,451,708,6,3,6,3,6,2,,,,,3,0,Completed,1.16,4.5,1.12,6,1.15,5.2,1.156,6.8,1.14,5.3
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Ferrer D.,Roitman S.,15,71,1725,548,6,3,6,3,6,1,,,,,3,0,Completed,1.12,5.5,1.1,6.5,1.13,5.5,1.138,7.55,1.12,5.8
36,London,Wimbledon,25/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Mathieu P.H.,Stepanek R.,39,61,825,575,7,6,6,2,6,2,,,,,3,0,Completed,2.1,1.66,2.15,1.7,2.25,1.6,2.21,1.763,2.04,1.74
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Verdasco F.,Reynolds B.,41,141,805,305,6,4,6,4,6,2,,,,,3,0,Completed,1.36,3,1.35,3.1,1.4,2.85,1.366,3.53,1.32,3.25
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Qureshi A.,Childs L.,279,408,134,74,6,3,6,4,7,6,,,,,3,0,Completed,1.38,2.87,1.33,3.2,1.3,3.35,1.368,3.52,1.37,3
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Pavel A.,Guzman J.,122,100,345,431,6,4,6,4,6,1,,,,,3,0,Completed,1.12,5.5,1.12,6,1.1,6.75,1.124,8.25,1.1,6.75
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Tsonga J.W.,Benneteau J.,110,54,373,640,7,6,7,5,6,4,,,,,3,0,Completed,1.57,2.25,1.55,2.4,1.55,2.35,1.85,2.61,1.58,2.32
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Seppi A.,Hrbaty D.,112,33,372,930,7,6,6,1,6,2,,,,,3,0,Completed,1.5,2.5,1.45,2.7,1.48,2.53,1.463,2.96,1.45,2.65
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Safin M.,de Voest R.,24,124,1125,343,7,6,6,4,7,5,,,,,3,0,Completed,1.12,5.5,1.14,5.4,1.15,5.2,1.148,7.15,1.11,6.2
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Lapentti N.,Kim K.,63,117,567,360,2,6,6,2,4,6,6,3,6,4,3,2,Completed,4.5,1.16,2.25,1.62,2.4,1.53,2.42,1.658,4.8,1.17
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Ljubicic I.,Spadea V.,12,66,1940,564,6,4,6,4,4,6,7,6,,,3,1,Completed,1.1,6.5,1.12,6,1.15,5.2,1.142,7.32,1.12,5.8
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Hernych J.,Gicquel M.,130,42,334,776,0,6,6,4,6,4,6,4,,,3,1,Completed,2.87,1.38,2.85,1.4,3.22,1.32,3.32,1.397,3.14,1.34
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Mahut N.,Clement A.,77,34,516,925,6,3,3,6,7,6,6,4,,,3,1,Completed,1.5,2.5,1.53,2.45,1.53,2.4,1.488,2.85,1.53,2.44
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,Ulihrach B.,14,145,1775,291,6,3,6,4,6,4,,,,,3,0,Completed,1.03,11,1.05,9,1.07,7.19,1.057,14.5,1.06,8.6
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Blake J.,Andreev I.,9,59,2075,590,6,3,6,4,6,4,,,,,3,0,Completed,1.28,3.5,1.3,3.4,1.26,3.59,1.313,3.89,1.3,3.4
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Bjorkman J.,Vicente F.,35,165,910,266,6,3,6,1,6,2,,,,,3,0,Completed,1.07,7.5,1.08,7.25,1.07,7.19,1.08,11,1.08,7.4
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Arthurs W.,De Bakker T.,195,391,219,81,6,7,6,7,7,6,6,4,6,4,3,2,Completed,1.4,2.75,1.4,2.85,1.35,3.1,1.377,3.45,1.4,2.85
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Robredo T.,Kendrick R.,7,87,2200,481,6,2,3,6,6,3,6,7,6,3,3,2,Completed,1.36,3,1.37,3,1.35,3.1,1.418,3.19,1.38,2.94
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Del Potro J.M.,Sanguinetti D.,56,105,619,382,3,6,6,3,6,4,6,4,,,3,1,Completed,1.08,7,1.08,7.5,1.06,9.52,1.133,7.8,1.08,7.4
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Chela J.I.,Becker B.,20,44,1305,764,3,6,4,6,6,4,6,4,10,8,3,2,Completed,2.62,1.44,2.7,1.45,1.55,2.35,4.75,1.241,1.6,2.28
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Muller G.,Hernandez O.,156,50,276,688,6,2,6,7,4,3,,,,,1,1,Retired,1.08,7,1.1,6.5,1.06,7.79,1.049,16.5,1.07,7.35
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Ferrero J.C.,Hajek J.,18,139,1330,307,6,7,4,6,6,3,6,2,7,5,3,2,Completed,1.14,5,1.21,4.25,1.15,5.2,1.392,3.35,1.17,4.8
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Tursunov D.,Almagro N.,23,40,1155,810,7,6,6,4,6,7,6,3,,,3,1,Completed,1.14,5,1.14,5.4,1.17,4.67,1.22,5.14,1.14,5.3
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Roger-Vasselin E.,Baker J.,109,238,378,162,7,6,6,2,6,3,,,,,3,0,Completed,1.83,1.83,1.83,1.93,1.9,1.85,1.82,2.12,1.92,1.83
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Mirnyi M.,Lu Y.H.,57,106,598,381,6,3,6,4,2,1,,,,,2,0,Retired,1.08,7,1.12,6,1.13,5.5,1.141,7.41,1.13,5.6
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Lopez F.,Goodall J.,78,226,516,175,6,1,6,4,6,4,,,,,3,0,Completed,1.22,4,1.25,3.85,1.23,3.89,,,1.23,4
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Henman T.,Moya C.,74,22,535,1255,6,3,1,6,5,7,6,2,13,11,3,2,Completed,1.61,2.2,1.65,2.2,1.58,2.28,1.787,2.17,1.64,2.2
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Nadal R.,Fish M.,2,38,5225,840,6,3,7,6,6,3,,,,,3,0,Completed,1.07,7.5,1.1,6.5,1.1,6.75,1.1,9,1.1,6.75
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Hewitt L.,Bloomfield R.,19,194,1330,220,7,5,6,3,7,5,,,,,3,0,Completed,1.01,13,1.01,16,1.03,10.5,1.016,43.76,1.02,18
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Nalbandian D.,Zverev M.,25,134,1115,319,6,3,6,4,6,2,,,,,3,0,Completed,1.12,5.5,1.12,6,1.1,6.25,1.136,7.65,1.13,5.6
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Wang Y.T.,Kunitsyn I.,168,91,257,460,6,3,6,4,6,7,6,7,6,2,3,2,Completed,1.72,2,1.7,2.1,1.73,2.03,1.667,2.4,1.7,2.1
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Eschauer W.,Ramirez-Hidalgo R.,72,95,543,451,6,2,3,6,6,4,6,3,,,3,1,Completed,1.72,2,1.7,2.1,1.65,2.15,1.735,2.26,1.78,1.98
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Berdych T.,Massu N.,11,52,1945,675,7,6,6,4,6,2,,,,,3,0,Completed,1.06,8,1.06,8.5,1.07,7.19,1.067,13,1.07,7.8
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Youzhny M.,Pless K.,13,80,1800,514,6,4,6,2,6,4,,,,,3,0,Completed,1.11,6,1.08,7.25,1.1,6.25,1.126,8.15,1.1,6.75
36,London,Wimbledon,26/06/07,Grand Slam,Outdoor,Grass,1st Round,5,Calleri A.,Horna L.,29,85,960,493,6,2,7,6,7,5,,,,,3,0,Completed,1.5,2.5,1.4,2.85,1.42,2.75,1.524,2.78,1.44,2.7
