match_id,player_id,pts,rank,winner,sets,1,2,3,4,5,B365W,B365L,total_pts,service_pts,return_pts,aces,bp_saved,bp_faced,first_serve_rtn_won,second_serve_rtn_won,first_serve_in,dbl_faults,first_serve_per
m_2018_W_88,atp_106210,640,93,TRUE,3,6,6,7,,,1.86,1.95,104,71,33,17,7,9,23,10,74,7,0.666666667
m_2018_W_89,atp_105208,402,138,TRUE,3,2,6,6,1,6,3.02,3.3,129,80,49,14,6,12,23,26,82,7,0.621212121
m_2018_W_90,atp_105332,1010,47,TRUE,3,0,6,6,7,,3.08,3.25,115,76,39,9,8,11,16,23,74,10,0.637931034
m_2018_W_91,atp_105453,1530,28,TRUE,3,2,6,7,7,,1.47,1.54,145,91,54,24,4,7,24,30,84,4,0.641221374
m_2018_W_92,atp_105223,5080,4,TRUE,3,6,6,6,,,1.33,1.39,89,48,41,13,0,0,15,26,32,1,0.603773585
m_2018_W_93,atp_106378,1950,17,TRUE,3,6,7,6,,,1.14,1.17,110,65,45,10,0,0,20,25,45,1,0.592105263
m_2018_W_94,atp_104926,2030,16,TRUE,3,6,6,6,,,1.54,1.6,105,58,47,5,6,7,26,21,49,4,0.532608696
m_2018_W_95,atp_100644,5755,3,TRUE,3,6,5,6,6,6,1.12,1.16,160,104,56,11,6,7,12,44,100,3,0.675675676
m_2018_W_96,atp_104731,3635,8,TRUE,3,6,7,7,,,1.36,1.41,105,68,37,22,3,4,24,13,61,4,0.693181818
m_2018_W_97,atp_104792,1070,44,TRUE,3,5,6,6,6,,2.81,3,117,80,37,18,1,2,17,20,83,2,0.76146789
m_2018_W_98,atp_105173,1580,26,TRUE,3,6,6,4,5,6,2.02,2.13,150,86,64,8,4,11,24,40,93,1,0.669064748
m_2018_W_99,atp_126774,1254,35,TRUE,3,6,6,6,,,1.39,1.43,86,48,38,11,3,6,23,15,51,3,0.68
m_2018_W_100,atp_104545,3045,10,TRUE,3,6,6,6,,,1.15,1.18,87,57,30,21,0,0,19,11,60,3,0.821917808
m_2018_W_101,atp_103819,8720,2,TRUE,3,6,7,6,,,1.02,1.03,102,60,42,10,0,0,19,23,40,2,0.540540541
m_2018_W_102,atp_111456,554,103,TRUE,3,6,6,7,,,2.23,2.33,104,76,28,11,2,2,13,15,74,2,0.711538462
m_2018_W_103,atp_105223,5080,4,TRUE,3,6,7,6,,,1.11,1.13,102,64,38,7,3,6,12,26,55,6,0.572916667
m_2018_W_104,atp_104468,950,53,TRUE,3,6,6,6,7,,2.26,2.36,143,95,48,7,7,8,24,24,93,2,0.669064748
m_2018_W_105,atp_105683,1430,32,TRUE,3,7,4,7,6,,1.07,1.09,143,87,56,28,3,5,38,18,76,3,0.697247706
m_2018_W_106,atp_104745,8770,1,TRUE,3,6,6,6,,,1.08,1.1,91,57,34,5,3,3,17,17,44,1,0.578947368
m_2018_W_107,atp_106210,640,93,TRUE,3,7,3,6,6,,2.5,2.65,142,93,49,17,13,14,22,27,98,2,0.742424242
m_2018_W_108,atp_105208,402,138,TRUE,3,7,4,5,6,6,5.24,5.77,149,108,41,18,10,13,22,19,109,8,0.694267516
m_2018_W_109,atp_111575,1130,40,TRUE,3,4,4,7,6,6,1.6,1.65,160,96,64,33,3,5,25,39,94,9,0.686131387
m_2018_W_110,atp_104925,1715,21,TRUE,3,4,6,6,6,,1.25,1.3,133,78,55,18,4,5,28,27,77,2,0.740384615
m_2018_W_111,atp_105453,1530,28,TRUE,3,6,7,6,,,2.96,3.25,95,66,29,7,0,1,14,15,60,1,0.697674419
m_2018_W_112,atp_103819,8720,2,TRUE,3,6,7,6,,,1.02,1.04,106,59,47,13,4,4,35,12,51,0,0.671052632
m_2018_W_113,atp_105683,1430,32,TRUE,3,6,6,6,6,,1.1,1.12,129,84,45,37,0,0,27,18,71,6,0.663551402
m_2018_W_114,atp_105453,1530,28,TRUE,3,4,7,7,6,,1.27,1.32,144,103,41,7,7,8,19,22,96,7,0.653061224
m_2018_W_115,atp_104545,3045,10,TRUE,3,6,7,7,,,1.5,1.53,112,82,30,22,1,1,13,17,77,2,0.77
m_2018_W_116,atp_104731,3635,8,TRUE,3,7,7,5,7,,1.62,1.74,168,114,54,20,1,5,28,26,103,6,0.651898734
m_2018_W_117,atp_104745,8770,1,TRUE,3,6,6,6,,,1.07,1.1,92,56,36,9,0,1,22,14,50,1,0.684931507
m_2018_W_118,atp_104925,1715,21,TRUE,3,6,6,6,,,1.12,1.15,90,47,43,2,1,3,22,21,46,1,0.707692308
m_2018_W_119,atp_105223,5080,4,TRUE,3,7,7,5,7,,1.12,1.15,190,110,80,27,10,15,27,53,111,4,0.656804734
m_2018_W_120,atp_104925,1715,21,TRUE,3,6,3,6,6,,1.14,1.17,118,64,54,6,4,7,33,21,61,3,0.67032967
m_2018_W_121,atp_104731,3635,8,TRUE,3,2,6,7,6,13,9.1,12.6,190,142,48,27,9,12,26,22,139,3,0.668269231
m_2018_W_122,atp_104745,8770,1,TRUE,3,7,6,4,6,6,1.37,1.43,177,117,60,3,5,7,25,35,116,5,0.698795181
m_2018_W_123,atp_104545,3045,10,TRUE,3,6,7,6,6,,2.27,2.38,134,96,38,26,1,1,19,19,87,4,0.725
m_2018_W_124,atp_104731,3635,8,TRUE,3,7,6,6,6,26,2.01,2.15,298,213,85,49,3,5,47,38,198,4,0.712230216
m_2018_W_125,atp_104925,1715,21,TRUE,3,6,3,7,3,10,1.97,2.05,195,119,76,23,7,11,50,26,125,4,0.710227273
m_2018_W_126,atp_104925,1715,21,TRUE,3,6,6,7,,,1.19,1.25,100,69,31,6,7,7,15,16,68,4,0.723404255
m_2017_W_0,atp_105023,1495,28,TRUE,3,7,7,6,,,1.18,1.2,120,70,50,14,8,10,26,24,60,2,0.606060606
m_2017_W_1,atp_105732,707,70,TRUE,2,6,6,,,,5.46,6.6,61,40,21,10,0,0,17,4,33,1,0.647058824
m_2017_W_2,atp_106329,544,100,TRUE,3,4,6,7,7,,4.09,4.33,148,107,41,8,6,8,14,27,103,1,0.677631579
m_2017_W_3,atp_105668,400,141,TRUE,3,6,3,6,7,,1.8,1.95,119,89,30,5,8,9,12,18,75,6,0.6
m_2017_W_4,atp_104460,585,97,TRUE,3,3,7,6,6,,1.42,1.49,118,83,35,15,1,3,16,19,80,7,0.714285714
m_2017_W_5,atp_105932,866,54,TRUE,3,6,7,6,,,1.52,1.56,110,66,44,2,2,4,21,23,64,3,0.64
m_2017_W_6,atp_104620,154,312,TRUE,3,6,1,6,6,,1.37,1.42,99,62,37,5,0,4,23,14,63,1,0.677419355
m_2017_W_7,atp_105332,960,46,TRUE,3,6,3,7,6,,1.15,1.17,142,87,55,15,7,12,36,19,94,6,0.666666667
m_2017_W_8,atp_111575,1176,34,TRUE,3,7,2,6,1,6,1.47,1.53,131,80,51,12,4,11,27,24,85,5,0.634328358
m_2017_W_9,atp_104542,3075,10,TRUE,3,6,6,6,,,1.03,1.04,93,49,44,8,0,0,27,17,38,1,0.59375
m_2017_W_10,atp_104918,9390,1,TRUE,3,6,6,6,,,1.04,1.06,100,56,44,3,6,6,20,24,43,2,0.581081081
m_2017_W_11,atp_105453,3830,9,TRUE,3,6,6,6,,,1.04,1.06,83,46,37,8,1,1,23,14,39,2,0.661016949
m_2017_W_12,atp_104731,970,42,TRUE,3,2,7,7,6,,1.56,1.62,137,93,44,25,1,3,17,27,97,4,0.7578125
m_2017_W_13,atp_105385,970,43,TRUE,2,5,6,6,4,,1.64,1.74,108,77,31,5,1,2,18,13,68,5,0.62962963
m_2017_W_14,atp_105138,2155,19,TRUE,3,6,6,6,,,1.03,1.04,94,53,41,6,3,3,18,23,52,0,0.722222222
m_2017_W_15,atp_106298,2570,16,TRUE,3,6,6,6,7,,1.08,1.1,154,95,59,12,4,6,10,49,73,5,0.557251908
m_2017_W_16,atp_105376,410,140,TRUE,3,7,2,6,6,,1.87,1.95,130,76,54,5,5,7,29,25,61,4,0.54954955
m_2017_W_17,atp_104660,461,122,TRUE,3,6,7,2,6,,1.74,1.82,121,84,37,17,6,10,18,19,67,8,0.519379845
m_2017_W_18,atp_104312,626,87,TRUE,3,6,3,6,6,,1.2,1.24,104,61,43,7,3,5,18,25,48,2,0.551724138
