Loser,Date,B365L,Tournament,Round
Blake J.,4/6/2006,1.33,French Open,3rd Round
Blake J.,20/01/06,1.33,Australian Open,3rd Round
Blake J.,3/9/2007,1.5,US Open,4th Round
Blake J.,29/06/07,1.22,Wimbledon,3rd Round
Blake J.,29/05/07,1.36,French Open,1st Round
Blake J.,22/01/07,1.39,Australian Open,4th Round
Blake J.,31/08/08,1.38,US Open,3rd Round
Blake J.,26/06/08,1.12,Wimbledon,2nd Round
Blake J.,29/05/08,1.4,French Open,2nd Round
Blake J.,23/01/08,11,Australian Open,Quarterfinals
Blake J.,6/9/2009,1.44,US Open,3rd Round
Blake J.,22/06/09,1.12,Wimbledon,1st Round
Blake J.,26/05/09,1.2,French Open,1st Round
Blake J.,26/01/09,2.62,Australian Open,4th Round
Blake J.,4/9/2010,6.5,US Open,3rd Round
Blake J.,22/06/10,1.53,Wimbledon,1st Round
Blake J.,20/01/10,4.33,Australian Open,2nd Round
Blake J.,2/9/2011,3.5,US Open,2nd Round
Blake J.,21/06/11,4.5,Wimbledon,1st Round
Blake J.,1/9/2012,3.25,US Open,3rd Round
Blake J.,25/06/12,4.33,Wimbledon,1st Round
Blake J.,29/05/12,9,French Open,1st Round
Blake J.,29/08/13,1.61,US Open,1st Round
Blake J.,27/06/13,2.37,Wimbledon,2nd Round
Blake J.,26/05/13,4.33,French Open,1st Round
Bogomolov Jr. A.,25/08/03,2.375,US Open,1st Round
Bogomolov Jr. A.,14/01/03,2.75,Australian Open,1st Round
Boutter J.,26/08/03,5,US Open,1st Round
Boutter J.,24/06/03,1.364,Wimbledon,1st Round
Boutter J.,26/05/03,2.75,French Open,1st Round
Boutter J.,21/06/04,4.5,Wimbledon,1st Round
Boutter J.,25/05/04,5,French Open,1st Round
Burgsmuller L.,29/08/03,4.5,US Open,2nd Round
Burgsmuller L.,26/06/03,9,Wimbledon,2nd Round
Burgsmuller L.,29/05/03,3.5,French Open,2nd Round
Burgsmuller L.,16/01/03,6.5,Australian Open,2nd Round
Burgsmuller L.,24/06/04,2,Wimbledon,1st Round
Burgsmuller L.,26/05/04,3.75,French Open,2nd Round
Burgsmuller L.,19/01/04,2.25,Australian Open,1st Round
Burgsmuller L.,31/08/05,7,US Open,1st Round
Burgsmuller L.,22/06/05,2.62,Wimbledon,2nd Round
Burgsmuller L.,23/05/05,21,French Open,1st Round
Burgsmuller L.,18/01/05,3.39,Australian Open,1st Round
Burgsmuller L.,18/01/06,4,Australian Open,2nd Round
Calleri A.,29/08/03,2.75,US Open,2nd Round
Calleri A.,25/06/03,1.833,Wimbledon,2nd Round
Calleri A.,27/05/03,1.222,French Open,1st Round
Calleri A.,13/01/03,1.571,Australian Open,1st Round
Calleri A.,25/05/04,2.75,French Open,1st Round
Calleri A.,22/01/04,1.727,Australian Open,2nd Round
Calleri A.,31/08/05,4,US Open,1st Round
Calleri A.,19/01/05,2.1,Australian Open,2nd Round
Calleri A.,30/08/06,1.53,US Open,1st Round
Calleri A.,28/06/06,1.83,Wimbledon,2nd Round
Calleri A.,16/01/06,3.5,Australian Open,1st Round
Calleri A.,2/9/2007,1.57,US Open,3rd Round
Calleri A.,28/06/07,2.25,Wimbledon,2nd Round
Calleri A.,29/05/07,1.33,French Open,1st Round
Calleri A.,15/01/07,1.22,Australian Open,1st Round
Calleri A.,29/08/08,5,US Open,2nd Round
Calleri A.,26/06/08,2.37,Wimbledon,2nd Round
Calleri A.,28/05/08,1.12,French Open,1st Round
Calleri A.,16/01/08,1.66,Australian Open,2nd Round
Calleri A.,22/06/09,7,Wimbledon,1st Round
Calleri A.,24/05/09,5,French Open,1st Round
Calleri A.,19/01/09,1.66,Australian Open,1st Round
Carlsen K.,28/08/03,3.25,US Open,2nd Round
Carlsen K.,23/06/03,1.909,Wimbledon,1st Round
Carlsen K.,27/05/03,2.75,French Open,1st Round
Carlsen K.,14/01/03,1.8,Australian Open,1st Round
Carlsen K.,1/9/2004,2.75,US Open,1st Round
Carlsen K.,27/06/04,2.75,Wimbledon,3rd Round
Carlsen K.,25/05/04,3,French Open,1st Round
Carlsen K.,19/01/04,3.75,Australian Open,1st Round
Carlsen K.,31/08/05,1.57,US Open,1st Round
Carlsen K.,21/06/05,1.8,Wimbledon,1st Round
Carlsen K.,24/05/05,21,French Open,1st Round
Carlsen K.,18/01/05,1.72,Australian Open,1st Round
Carlsen K.,28/05/06,5,French Open,1st Round
Carlsen K.,17/01/06,3.5,Australian Open,1st Round
Carraz G.,31/08/03,7,US Open,3rd Round
Carraz G.,14/01/03,1.833,Australian Open,1st Round
Carraz G.,1/9/2004,2.375,US Open,1st Round
Carraz G.,24/06/04,5.5,Wimbledon,2nd Round
Carraz G.,19/01/04,NA,Australian Open,1st Round
Carraz G.,20/01/05,3.5,Australian Open,2nd Round
Chang M.,26/08/03,7,US Open,1st Round
Chang M.,27/05/03,3,French Open,1st Round
Chela J.I.,31/08/03,2.5,US Open,3rd Round
Chela J.I.,25/06/03,1.667,Wimbledon,2nd Round
Chela J.I.,30/05/03,4.333,French Open,3rd Round
Chela J.I.,16/01/03,1.4,Australian Open,2nd Round
Chela J.I.,1/9/2004,1.167,US Open,1st Round
Chela J.I.,25/06/04,2.25,Wimbledon,2nd Round
Chela J.I.,1/6/2004,1.444,French Open,Quarterfinals
Chela J.I.,21/01/04,2.75,Australian Open,2nd Round
Chela J.I.,29/08/05,1.5,US Open,1st Round
Chela J.I.,25/05/05,1.39,French Open,2nd Round
Chela J.I.,22/01/05,5.5,Australian Open,3rd Round
Chela J.I.,28/08/06,1.72,US Open,1st Round
Chela J.I.,27/06/06,2.1,Wimbledon,1st Round
Chela J.I.,30/05/06,2.1,French Open,1st Round
Chela J.I.,23/01/06,2.2,Australian Open,4th Round
Chela J.I.,5/9/2007,4,US Open,Quarterfinals
Chela J.I.,28/06/07,1.53,Wimbledon,2nd Round
Chela J.I.,30/05/07,1.44,French Open,2nd Round
Chela J.I.,20/01/07,4,Australian Open,3rd Round
Chela J.I.,29/05/08,2.5,French Open,2nd Round
Chela J.I.,14/01/08,1.25,Australian Open,1st Round
Chela J.I.,2/9/2009,6,US Open,2nd Round
Chela J.I.,24/05/09,7.5,French Open,1st Round
Chela J.I.,3/9/2010,4,US Open,2nd Round
Chela J.I.,21/06/10,3.4,Wimbledon,1st Round
Chela J.I.,27/05/10,6,French Open,2nd Round
Chela J.I.,19/01/10,2.5,Australian Open,1st Round
Chela J.I.,4/9/2011,1.9,US Open,3rd Round
Chela J.I.,22/06/11,1.72,Wimbledon,2nd Round
Chela J.I.,1/6/2011,6,French Open,Quarterfinals
Chela J.I.,18/01/11,1.72,Australian Open,1st Round
Chela J.I.,25/06/12,3,Wimbledon,1st Round
Chela J.I.,29/05/12,2.1,French Open,1st Round
Chela J.I.,21/01/12,10,Australian Open,3rd Round
Clement A.,28/08/03,1.364,US Open,2nd Round
Clement A.,25/06/03,1.222,Wimbledon,2nd Round
Clement A.,2/6/2003,2.1,French Open,4th Round
Clement A.,3/9/2004,2.2,US Open,2nd Round
Clement A.,22/06/04,1.4,Wimbledon,1st Round
Clement A.,25/05/04,1.615,French Open,1st Round
Clement A.,19/01/04,1.25,Australian Open,1st Round
Clement A.,4/9/2005,2.62,US Open,3rd Round
Clement A.,21/06/05,1.33,Wimbledon,1st Round
Clement A.,26/05/05,1.9,French Open,2nd Round
Clement A.,18/01/05,10,Australian Open,1st Round
Clement A.,28/08/06,1.22,US Open,1st Round
Clement A.,28/06/06,7,Wimbledon,2nd Round
Clement A.,17/01/06,1.72,Australian Open,1st Round
Clement A.,30/08/07,1.61,US Open,2nd Round
Clement A.,26/06/07,2.5,Wimbledon,1st Round
Clement A.,29/05/07,2.87,French Open,1st Round
Clement A.,18/01/07,1.61,Australian Open,2nd Round
Clement A.,27/08/08,13,US Open,1st Round
Clement A.,3/7/2008,1.8,Wimbledon,Quarterfinals
Clement A.,28/05/08,3.75,French Open,1st Round
Clement A.,14/01/08,1.72,Australian Open,1st Round
Clement A.,23/06/09,9,Wimbledon,1st Round
Clement A.,28/05/09,1.72,French Open,2nd Round
Clement A.,22/01/09,5.5,Australian Open,2nd Round
Clement A.,4/9/2010,6,US Open,3rd Round
Clement A.,25/06/10,12,Wimbledon,3rd Round
Clement A.,24/05/10,3.25,French Open,1st Round
Clement A.,19/01/10,3.25,Australian Open,1st Round
Clement A.,21/06/11,1.9,Wimbledon,1st Round
Clement A.,26/05/11,2.25,French Open,2nd Round
Clement A.,18/01/11,2.5,Australian Open,1st Round
Clement A.,31/05/12,3.5,French Open,2nd Round
Coria G.,5/9/2003,3.75,US Open,Quarterfinals
Coria G.,24/06/03,1.667,Wimbledon,1st Round
Coria G.,6/6/2003,1.333,French Open,Semifinals
Coria G.,19/01/03,5.5,Australian Open,4th Round
Coria G.,25/06/04,1.444,Wimbledon,2nd Round
Coria G.,6/6/2004,1.25,French Open,The Final
Coria G.,20/01/04,NA,Australian Open,1st Round
Coria G.,7/9/2005,2.5,US Open,Quarterfinals
Coria G.,27/06/05,6.5,Wimbledon,4th Round
Coria G.,30/05/05,1.16,French Open,4th Round
Coria G.,24/01/05,1.66,Australian Open,4th Round
Coria G.,30/08/06,1.53,US Open,1st Round
Coria G.,21/01/06,2.2,Australian Open,3rd Round
Coria G.,26/05/08,9,French Open,1st Round
Corretja A.,26/08/03,7,US Open,1st Round
Corretja A.,26/05/03,1.333,French Open,1st Round
Corretja A.,14/01/03,1.4,Australian Open,1st Round
Corretja A.,31/08/04,2.2,US Open,1st Round
Corretja A.,21/06/04,3.75,Wimbledon,1st Round
Corretja A.,28/05/04,3.25,French Open,3rd Round
Corretja A.,22/01/04,1.667,Australian Open,2nd Round
Costa A.,29/08/03,1.5,US Open,2nd Round
Costa A.,6/6/2003,3.25,French Open,Semifinals
Costa A.,17/01/03,1.727,Australian Open,3rd Round
Costa A.,30/08/04,10,US Open,1st Round
Costa A.,24/06/04,1.5,Wimbledon,1st Round
Costa A.,30/05/04,1.364,French Open,3rd Round
Costa A.,24/01/04,1.533,Australian Open,3rd Round
Costa A.,31/08/05,11,US Open,1st Round
Costa A.,24/05/05,1.25,French Open,1st Round
Costa A.,17/01/05,1.3,Australian Open,1st Round
Davydenko N.,28/08/03,1.833,US Open,2nd Round
Davydenko N.,23/06/03,1.4,Wimbledon,1st Round
Davydenko N.,29/05/03,3.75,French Open,2nd Round
Davydenko N.,13/01/03,1.833,Australian Open,1st Round
Davydenko N.,5/9/2004,1.615,US Open,3rd Round
Davydenko N.,22/06/04,3,Wimbledon,1st Round
Davydenko N.,24/05/04,5.5,French Open,1st Round
Davydenko N.,21/01/04,1.4,Australian Open,2nd Round
Davydenko N.,2/9/2005,1.3,US Open,2nd Round
Davydenko N.,22/06/05,1.72,Wimbledon,2nd Round
Davydenko N.,3/6/2005,1.57,French Open,Semifinals
Davydenko N.,26/01/05,6.5,Australian Open,Quarterfinals
Davydenko N.,9/9/2006,10,US Open,Semifinals
Davydenko N.,28/06/06,1.39,Wimbledon,1st Round
Davydenko N.,6/6/2006,2.37,French Open,Quarterfinals
Davydenko N.,25/01/06,12,Australian Open,Quarterfinals
Davydenko N.,8/9/2007,8,US Open,Semifinals
Davydenko N.,5/7/2007,2.75,Wimbledon,4th Round
Davydenko N.,8/6/2007,6.5,French Open,Semifinals
Davydenko N.,24/01/07,1.44,Australian Open,Quarterfinals
Davydenko N.,2/9/2008,1.07,US Open,4th Round
Davydenko N.,24/06/08,1.16,Wimbledon,1st Round
Davydenko N.,31/05/08,1.06,French Open,3rd Round
Davydenko N.,20/01/08,1.57,Australian Open,4th Round
Davydenko N.,7/9/2009,2.25,US Open,4th Round
Davydenko N.,27/06/09,2,Wimbledon,3rd Round
Davydenko N.,2/6/2009,1.44,French Open,Quarterfinals
Davydenko N.,2/9/2010,1.36,US Open,2nd Round
Davydenko N.,23/06/10,1.44,Wimbledon,2nd Round
Davydenko N.,27/01/10,3.4,Australian Open,Quarterfinals
Davydenko N.,4/9/2011,17,US Open,3rd Round
Davydenko N.,21/06/11,2.1,Wimbledon,1st Round
Davydenko N.,26/05/11,1.1,French Open,2nd Round
Davydenko N.,17/01/11,1.16,Australian Open,1st Round
Davydenko N.,30/08/12,4.5,US Open,2nd Round
Davydenko N.,26/06/12,11,Wimbledon,1st Round
Davydenko N.,28/05/12,2.5,French Open,1st Round
Davydenko N.,16/01/12,1.28,Australian Open,1st Round
Davydenko N.,29/08/13,2.5,US Open,2nd Round
Davydenko N.,1/6/2013,5.5,French Open,3rd Round
Davydenko N.,17/01/13,13,Australian Open,2nd Round
Davydenko N.,26/05/14,2.5,French Open,1st Round
Davydenko N.,15/01/14,4.5,Australian Open,2nd Round
Delgado R.,28/08/03,2.5,US Open,2nd Round
